player_id,league_id,team_id,gp,gs,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts
203123,00,0,8,0,21,1,4,0.25,0,3,0,1,2,0.5,0,2,2,0,0,0,5,4,3
203124,00,0,2,0,7,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,3,0
203135,00,0,2,0,4,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0
203136,00,0,3,0,8,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,2,0
203141,00,0,19,0,265,37,93,0.397849,20,64,0.3125,8,12,0.666666,15,32,47,3,7,2,7,18,102
203142,00,0,21,1,175,24,58,0.413793,17,39,0.435897,8,11,0.727272,3,11,14,2,8,3,9,22,73
203143,00,0,33,10,550,36,105,0.342857,25,73,0.342465,5,8,0.625,10,29,39,81,29,1,21,69,102
203145,00,0,41,12,795,96,253,0.379446,29,114,0.254385,46,71,0.647887,16,131,147,54,31,20,39,57,267
203148,00,0,10,0,36,2,9,0.222222,0,4,0,4,6,0.666666,1,0,1,3,0,0,1,5,8
203159,00,0,5,0,8,1,2,0.5,0,0,0,1,2,0.5,0,1,1,1,0,0,1,1,3
203162,00,0,6,0,22,0,5,0,0,3,0,0,0,0,1,2,3,3,0,1,2,2,0
203200,00,0,9,2,142,11,23,0.47826,9,17,0.529411,1,3,0.333333,4,12,16,4,6,5,5,9,32
203210,00,0,44,5,751,103,203,0.507389,35,84,0.416666,31,39,0.794871,44,127,171,28,12,11,27,97,272
203268,00,0,6,0,27,1,5,0.2,0,0,0,2,4,0.5,1,3,4,3,0,0,1,1,4
203382,00,0,54,18,713,76,153,0.496732,13,30,0.433333,27,36,0.75,71,126,197,25,10,13,27,95,192
203457,00,0,17,2,250,25,47,0.531914,0,1,0,18,28,0.642857,26,42,68,4,8,11,10,39,68
203458,00,0,5,3,42,8,14,0.571428,0,0,0,4,7,0.571428,4,7,11,2,1,0,1,8,20
203459,00,0,17,1,433,51,102,0.5,20,50,0.4,15,22,0.681818,5,42,47,18,10,2,8,33,137
203460,00,0,26,23,669,64,136,0.470588,19,55,0.345454,11,41,0.268292,43,91,134,23,35,36,18,61,158
203463,00,0,15,0,165,17,49,0.346938,16,42,0.380952,0,0,0,3,15,18,7,5,0,4,13,50
203464,00,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
203468,00,0,57,47,2000,437,995,0.439195,126,328,0.384146,140,181,0.77348,41,197,238,157,46,25,108,135,1140
203469,00,0,11,2,190,24,47,0.510638,0,0,0,19,25,0.76,14,32,46,4,1,6,9,23,67
203471,00,0,52,12,1274,252,595,0.423529,65,201,0.323383,121,147,0.823129,20,104,124,203,33,3,91,111,690
203473,00,0,16,3,154,24,41,0.585365,1,3,0.333333,21,37,0.567567,29,36,65,6,2,5,14,26,70
203476,00,0,5,0,70,6,18,0.333333,2,5,0.4,3,4,0.75,3,15,18,4,2,4,1,6,17
203477,00,0,3,2,95,13,26,0.5,5,14,0.357142,4,6,0.666666,0,4,4,4,3,0,5,6,35
203479,00,0,2,0,4,0,2,0,0,0,0,1,2,0.5,0,1,1,0,0,0,0,0,1
203481,00,0,3,0,21,2,4,0.5,0,0,0,1,2,0.5,3,1,4,1,1,1,0,5,5
203482,00,0,48,2,836,138,286,0.482517,43,124,0.346774,60,80,0.75,38,130,168,77,27,30,51,118,379
